Quarter,Days,Period,Año Texto
1Q,0.06484614179075082,1,2023
1Q,0.3541425674176016,2,2023
1Q,0.2568602957788414,3,2023
2Q,0.25165781845479035,4,2023
2Q,0.18607176627850863,5,2023
2Q,0.0872787499759648,6,2023
3Q,0.3614810872439067,7,2023
3Q,0.1127505079395427,8,2023
3Q,0.20760050137185615,9,2023
4Q,0.08567157816071122,10,2023
4Q,0.11402512639057276,11,2023
4Q,0.10168395445501603,12,2023
1Q,0.15015298389330048,1,2024
1Q,0.20359041997628394,2,2024
1Q,0.06136629380938725,3,2024
2Q,0.2355877092003034,4,2024
2Q,0.16631684802439103,5,2024
2Q,0.2360089704782542,6,2024
3Q,0.2308292285439462,7,2024
3Q,0.38605842232420107,8,2024
3Q,0.13825697891728359,9,2024
4Q,0.07418043072287933,10,2024
4Q,0.13078459868004289,11,2024
4Q,0.21024461714517678,12,2024
1Q,0.07214677234524232,1,2025
1Q,0.08363454608815499,2,2025
1Q,0.05654542846778243,3,2025
2Q,0.08146342844210558,4,2025
2Q,0.04168099586003256,5,2025
2Q,0.06587712636436743,6,2025
3Q,0.09411689479206992,7,2025
3Q,0.0902182949195372,8,2025
3Q,0.049761238570385745,9,2025
4Q,0.03634458031373198,10,2025
4Q,0.01991012026030674,11,2025
4Q,0.09136462042168049,12,2025
